id,tested_positive
0,20.89619
1,4.746579
2,5.5419474
3,10.811216
4,5.003732
5,29.000408
6,25.181633
7,6.3034935
8,12.003303
9,9.717324
10,18.171339
11,21.71975
12,22.435463
13,13.61603
14,21.40452
15,19.25884
16,29.051764
17,9.390149
18,23.280622
19,5.364564
20,6.0292344
21,23.499252
22,18.616602
23,13.287578
24,12.975335
25,27.524658
26,26.479225
27,27.375488
28,7.727225
29,20.091839
30,10.385167
31,7.3890085
32,26.715836
33,10.385392
34,21.150301
35,30.696995
36,12.650667
37,7.4827776
38,15.787045
39,8.828651
40,14.794727
41,5.0303855
42,8.1607275
43,15.902162
44,7.23353
45,16.550455
46,14.54371
47,5.531317
48,6.446799
49,16.387897
50,16.244503
51,15.180524
52,12.756779
53,8.031429
54,14.140547
55,29.815046
56,9.518962
57,15.559649
58,32.55111
59,10.610878
60,20.730732
61,21.81403
62,25.228748
63,22.83181
64,18.453894
65,6.4969573
66,14.167482
67,24.444534
68,32.601585
69,18.036388
70,19.703878
71,16.758083
72,13.139632
73,25.69865
74,12.878326
75,6.147337
76,19.606247
77,13.832023
78,7.750105
79,7.5853224
80,18.024622
81,10.811542
82,11.810648
83,15.970328
84,10.576734
85,17.434034
86,24.038486
87,10.978387
88,5.9449153
89,17.772871
90,27.92244
91,35.284126
92,18.048742
93,5.8115387
94,11.66132
95,11.772397
96,9.519772
97,22.81966
98,12.066808
99,12.05275
100,7.7006407
101,9.02399
102,15.618323
103,12.216107
104,6.561556
105,30.429108
106,29.07206
107,11.156648
108,20.812681
109,9.006373
110,13.77184
111,6.645195
112,20.21283
113,24.300785
114,15.119683
115,10.078122
116,9.481411
117,30.12079
118,20.503357
119,11.596823
120,12.236786
121,23.820848
122,9.847045
123,20.214092
124,32.368454
125,12.5739765
126,12.031086
127,7.4253454
128,5.0809665
129,11.024742
130,17.16288
131,14.378663
132,13.4251585
133,16.319292
134,23.507837
135,19.414312
136,22.819218
137,5.219956
138,16.537962
139,34.22013
140,24.425323
141,18.746616
142,25.27343
143,26.231606
144,11.988654
145,34.902603
146,6.974983
147,13.346187
148,19.734015
149,16.436586
150,19.959393
151,8.636303
152,20.830376
153,5.0051556
154,33.507454
155,17.534243
156,16.466845
157,26.967209
158,18.210087
159,17.822996
160,17.796967
161,23.874321
162,13.1043415
163,15.892234
164,15.932292
165,23.952774
166,27.733433
167,16.905607
168,28.894918
169,17.6368
170,11.934534
171,13.023891
172,24.937862
173,39.192413
174,20.96539
175,5.1884108
176,8.54566
177,32.733364
178,28.882912
179,24.386347
180,17.049335
181,24.105265
182,26.791433
183,9.964267
184,20.008026
185,8.172901
186,20.23787
187,5.192863
188,13.485728
189,26.886066
190,4.8829575
191,23.309412
192,25.03215
193,7.7009373
194,11.9451885
195,30.473396
196,8.396254
197,26.840004
198,11.107942
199,19.6051
200,23.608208
201,16.207905
202,22.972075
203,13.390283
204,26.472712
205,20.699036
206,14.486655
207,28.652546
208,16.930786
209,7.628024
210,10.257719
211,16.203396
212,30.825893
213,6.607114
214,11.727168
215,14.801261
216,7.714596
217,14.691932
218,10.666739
219,10.677867
220,15.700044
221,8.7664585
222,15.409026
223,13.591655
224,24.436325
225,21.609802
226,14.357846
227,7.4951134
228,11.190478
229,32.284264
230,15.291387
231,7.2531466
232,13.93654
233,20.352774
234,9.824815
235,33.732426
236,19.538353
237,20.585575
238,21.33104
239,31.58107
240,12.213438
241,27.758467
242,28.329828
243,28.777815
244,13.83743
245,10.817938
246,15.035329
247,27.285423
248,19.996862
249,11.611133
250,21.951248
251,16.195023
252,21.091574
253,11.2766485
254,12.100062
255,9.661088
256,7.5673847
257,19.609398
258,14.650589
259,7.9885025
260,13.179223
261,4.92042
262,7.0158415
263,22.019798
264,15.865065
265,6.842799
266,24.528372
267,26.335896
268,6.9404607
269,12.435027
270,14.7238
271,8.812847
272,21.808025
273,10.756867
274,8.586924
275,16.718853
276,20.702488
277,8.520571
278,15.638948
279,17.169878
280,21.766289
281,21.174961
282,17.309353
283,24.7865
284,18.134136
285,22.244587
286,21.059956
287,29.287292
288,6.651701
289,20.580376
290,13.45391
291,16.809364
292,4.8187056
293,5.079115
294,22.481754
295,15.166424
296,6.5754776
297,23.645115
298,10.476394
299,10.398949
300,11.760677
301,22.193903
302,11.074243
303,20.017246
304,13.44596
305,18.368515
306,23.325066
307,31.152987
308,13.201198
309,12.470756
310,10.644762
311,25.268604
312,9.853946
313,23.975658
314,18.248615
315,15.45133
316,30.042646
317,19.386963
318,19.199076
319,16.50646
320,5.8475685
321,6.898696
322,27.494648
323,18.520935
324,8.494951
325,19.809206
326,4.3967805
327,24.226887
328,19.491016
329,24.462574
330,10.5679455
331,24.147171
332,13.339226
333,6.1331806
334,12.384711
335,12.79017
336,24.20958
337,9.305551
338,10.711471
339,21.72663
340,14.081121
341,10.266973
342,21.807585
343,15.892718
344,4.6199102
345,18.889172
346,27.43136
347,22.895748
348,20.448547
349,17.232864
350,8.966145
351,24.380413
352,17.903229
353,15.089757
354,6.070262
355,18.364025
356,23.135979
357,17.58785
358,22.349567
359,15.692885
360,5.730065
361,19.416977
362,8.110524
363,13.51505
364,18.925692
365,33.566216
366,16.631742
367,15.440415
368,6.1210136
369,15.131472
370,16.340494
371,15.347126
372,18.05864
373,12.107236
374,5.608525
375,14.954717
376,9.776998
377,10.554211
378,17.259123
379,20.320318
380,25.617443
381,15.552163
382,10.60458
383,21.35131
384,7.140188
385,15.516694
386,16.984844
387,15.841327
388,15.454934
389,16.861132
390,30.068394
391,12.68013
392,28.504097
393,17.770315
394,6.7244306
395,15.542766
396,28.79384
397,19.866367
398,23.15322
399,13.108072
400,16.231855
401,19.74686
402,6.7299833
403,31.457174
404,32.48274
405,11.366748
406,9.993082
407,24.37902
408,12.674432
409,17.109842
410,20.029284
411,8.412211
412,24.764488
413,12.333899
414,9.226942
415,19.15955
416,21.12096
417,25.096104
418,25.7686
419,10.142703
420,15.855297
421,4.2636743
422,8.310623
423,11.215981
424,22.038296
425,14.409113
426,18.698097
427,9.39125
428,32.485165
429,22.568329
430,11.164351
431,19.44838
432,15.485259
433,13.527742
434,6.0030055
435,21.817387
436,34.382294
437,13.686755
438,5.485506
439,4.0935974
440,8.8474655
441,6.7611933
442,20.056767
443,19.927597
444,20.713041
445,5.760237
446,5.5510225
447,14.585184
448,24.522276
449,23.481325
450,15.976705
451,8.309233
452,27.886902
453,14.833579
454,12.1226425
455,10.074458
456,24.310406
457,17.027918
458,20.559258
459,7.0945244
460,22.221333
461,9.517534
462,15.454328
463,16.664558
464,8.191691
465,10.072077
466,9.079347
467,6.8104076
468,11.156669
469,24.165833
470,18.233192
471,12.264159
472,24.559242
473,10.4039545
474,13.649334
475,5.8875294
476,12.766681
477,19.324364
478,22.503319
479,21.649574
480,23.774694
481,20.814325
482,26.26854
483,20.264923
484,27.343266
485,7.009962
486,19.179964
487,15.829006
488,23.99722
489,8.883616
490,12.733396
491,20.812727
492,18.72609
493,15.144577
494,16.768923
495,16.440577
496,14.879352
497,6.3298664
498,6.252005
499,12.385915
500,14.731108
501,6.675312
502,18.907757
503,12.256167
504,23.641151
505,25.36429
506,22.186563
507,10.891471
508,9.944468
509,17.712051
510,17.885128
511,13.915501
512,19.257755
513,8.747205
514,24.291441
515,14.197026
516,14.632729
517,13.684995
518,13.244985
519,28.920137
520,26.516785
521,16.312288
522,18.024155
523,22.902245
524,11.129658
525,31.507853
526,5.0621376
527,17.724285
528,15.339519
529,8.485248
530,17.145771
531,11.186897
532,11.700818
533,12.937293
534,23.02966
535,4.814149
536,25.60675
537,9.869521
538,23.704048
539,15.489295
540,40.50461
541,13.800834
542,18.965029
543,5.777601
544,9.796151
545,10.091821
546,7.0099125
547,25.270447
548,21.424028
549,12.576493
550,12.113849
551,6.4702973
552,20.59969
553,28.589314
554,22.66143
555,6.817631
556,14.749725
557,16.408329
558,25.486729
559,18.241463
560,11.1178465
561,12.152001
562,23.38073
563,18.159643
564,24.095531
565,11.634578
566,21.936207
567,26.089981
568,5.588377
569,25.856205
570,14.1150675
571,16.879545
572,28.705284
573,23.74438
574,4.3329434
575,19.641756
576,24.949932
577,34.755333
578,18.97155
579,21.103159
580,12.576282
581,9.126681
582,13.795918
583,11.191291
584,17.413204
585,8.99439
586,32.35226
587,12.0556555
588,7.5344615
589,10.805861
590,11.151546
591,22.68619
592,21.320414
593,33.0377
594,30.028812
595,31.823109
596,10.02513
597,13.597537
598,23.020596
599,24.635145
600,6.571932
601,9.08625
602,18.358269
603,18.164253
604,18.99162
605,22.185005
606,18.438274
607,29.050524
608,15.211526
609,22.996857
610,6.3573513
611,17.141554
612,9.620216
613,27.83325
614,24.814272
615,9.750448
616,23.93427
617,12.735307
618,19.443935
619,12.057806
620,7.7567058
621,15.22749
622,9.931496
623,23.805273
624,11.334711
625,27.34311
626,15.010863
627,16.328466
628,18.398415
629,10.130969
630,29.227036
631,17.846453
632,29.39924
633,25.825499
634,20.522907
635,10.342511
636,18.336292
637,11.122005
638,19.45853
639,20.475468
640,9.890437
641,11.799012
642,26.447124
643,31.172512
644,23.047447
645,29.728537
646,8.811803
647,24.892918
648,4.835718
649,13.292176
650,14.605973
651,17.609327
652,11.31759
653,12.471394
654,14.896329
655,16.034882
656,13.811529
657,30.066978
658,11.966619
659,7.6765804
660,28.333267
661,26.672358
662,9.067922
663,10.887714
664,10.647123
665,5.6171136
666,24.318539
667,9.733419
668,22.18422
669,22.456219
670,12.256869
671,8.467872
672,7.606156
673,15.756286
674,5.112281
675,13.822158
676,22.96207
677,24.840034
678,16.40853
679,11.291605
680,15.483724
681,11.658647
682,16.255407
683,19.703754
684,5.3545713
685,27.818058
686,19.225399
687,14.808477
688,5.6718926
689,11.685844
690,18.389292
691,7.023739
692,14.612031
693,5.70367
694,5.073555
695,10.791451
696,22.726492
697,30.33837
698,27.454536
699,5.286471
700,6.7290654
701,6.1596003
702,19.955435
703,17.068073
704,28.376774
705,5.7510295
706,17.685427
707,6.9244485
708,11.443627
709,13.205684
710,20.876808
711,8.940563
712,23.55692
713,11.306723
714,4.750853
715,5.023204
716,9.476347
717,20.803898
718,12.028573
719,21.507381
720,7.8421106
721,5.443933
722,21.004362
723,25.861885
724,7.5137644
725,19.0433
726,6.6276884
727,14.030632
728,5.7376013
729,17.252361
